day,susceptible,infected,recovered,dead,new_infections,cumulative_infected,currently_infected,R_t,R0_proxy
1,999922,78,0,0,53,78,25,2.12,2.12
2,999826,169,5,0,96,174,78,1.2307692307692308,1.2307692307692308
3,999648,330,22,0,178,352,169,1.0532544378698225,1.0532544378698225
4,999401,549,47,3,247,599,330,0.7484848484848485,0.7484848484848485
5,999078,829,86,7,323,922,549,0.5883424408014571,0.5883424408014571
6,998695,1146,144,15,383,1305,829,0.4620024125452352,0.4620024125452352
7,998250,1487,235,28,445,1750,1146,0.38830715532286214,0.38830715532286214
8,997704,1928,327,41,546,2296,1487,0.367182246133154,0.367182246133154
9,997009,2463,471,57,695,2991,1928,0.3604771784232365,0.3604771784232365
10,996259,3015,646,80,750,3741,2463,0.30450669914738127,0.30450669914738127
11,995384,3674,835,107,875,4616,3015,0.2902155887230514,0.2902155887230514
12,994437,4311,1111,141,947,5563,3674,0.2577572128470332,0.2577572128470332
13,993435,4994,1392,179,1002,6565,4311,0.232428670842032,0.232428670842032
14,992339,5707,1719,235,1096,7661,4994,0.2194633560272327,0.2194633560272327
15,991131,6491,2085,293,1208,8869,5707,0.2116698790958472,0.2116698790958472
16,989805,7303,2529,363,1326,10195,6491,0.204282853181328,0.204282853181328
17,988365,8143,3049,443,1440,11635,7303,0.1971792414076407,0.1971792414076407
18,986893,8963,3619,525,1472,13107,8143,0.18076875844283433,0.18076875844283433
19,985359,9789,4223,629,1534,14641,8963,0.17114805310721856,0.17114805310721856
20,983651,10713,4910,726,1708,16349,9789,0.1744815609357442,0.1744815609357442
21,981917,11629,5625,829,1734,18083,10713,0.1618594231307757,0.1618594231307757
22,980056,12581,6423,940,1861,19944,11629,0.16003095709003354,0.16003095709003354
23,978159,13477,7313,1051,1897,21841,12581,0.1507829266354026,0.1507829266354026
24,976131,14466,8226,1177,2028,23869,13477,0.15047859315871484,0.15047859315871484
25,974033,15371,9282,1314,2098,25967,14466,0.14502972487211394,0.14502972487211394
26,971838,16347,10345,1470,2195,28162,15371,0.14280137922061023,0.14280137922061023
27,969539,17375,11445,1641,2299,30461,16347,0.14063742582736893,0.14063742582736893
28,967165,18433,12593,1809,2374,32835,17375,0.13663309352517986,0.13663309352517986
29,964666,19449,13905,1980,2499,35334,18433,0.1355720718277003,0.1355720718277003
30,962074,20497,15262,2167,2592,37926,19449,0.13327163350300786,0.13327163350300786
31,959439,21484,16716,2361,2635,40561,20497,0.12855539835097818,0.12855539835097818
32,956658,22509,18262,2571,2781,43342,21484,0.1294451684974865,0.1294451684974865
33,953847,23568,19781,2804,2811,46153,22509,0.1248833799813408,0.1248833799813408
34,951020,24607,21343,3030,2827,48980,23568,0.11995078071961983,0.11995078071961983
35,948077,25580,23038,3305,2943,51923,24607,0.1196001137887593,0.1196001137887593
36,945053,26578,24845,3524,3024,54947,25580,0.11821735731039874,0.11821735731039874
37,941971,27543,26687,3799,3082,58029,26578,0.11596056889156445,0.11596056889156445
38,938816,28515,28599,4070,3155,61184,27543,0.11454816105725593,0.11454816105725593
39,935564,29569,30510,4357,3252,64436,28515,0.11404523934771173,0.11404523934771173
40,932278,30622,32442,4658,3286,67722,29569,0.11112989955696845,0.11112989955696845
41,928967,31564,34495,4974,3311,71033,30622,0.10812487753902424,0.10812487753902424
42,925501,32536,36684,5279,3466,74499,31564,0.10980864275757192,0.10980864275757192
43,922102,33299,38958,5641,3399,77898,32536,0.10446889599213179,0.10446889599213179
44,918678,34175,41187,5960,3424,81322,33299,0.10282591068800864,0.10282591068800864
45,915168,35026,43473,6333,3510,84832,34175,0.10270665691294806,0.10270665691294806
46,911588,35765,45965,6682,3580,88412,35026,0.10220978701536002,0.10220978701536002
47,907905,36615,48396,7084,3683,92095,35765,0.10297777156437858,0.10297777156437858
48,904170,37432,50956,7442,3735,95830,36615,0.1020073740270381,0.1020073740270381
49,900317,38266,53539,7878,3853,99683,37432,0.10293331908527463,0.10293331908527463
50,896399,39180,56195,8226,3918,103601,38266,0.10238854335441384,0.10238854335441384
51,892477,40000,58920,8603,3922,107523,39180,0.10010209290454314,0.10010209290454314
52,888421,40854,61718,9007,4056,111579,40000,0.1014,0.1014
53,884315,41781,64465,9439,4106,115685,40854,0.10050423459147208,0.10050423459147208
54,880195,42514,67401,9890,4120,119805,41781,0.09860941576314593,0.09860941576314593
55,876070,43250,70366,10314,4125,123930,42514,0.09702686173966223,0.09702686173966223
56,871842,43974,73426,10758,4228,128158,43250,0.09775722543352601,0.09775722543352601
57,867576,44745,76469,11210,4266,132424,43974,0.09701187065083913,0.09701187065083913
58,863317,45544,79515,11624,4259,136683,44745,0.09518381942116437,0.09518381942116437
59,858994,46358,82567,12081,4323,141006,45544,0.09491919901633585,0.09491919901633585
60,854714,46954,85765,12567,4280,145286,46358,0.09232494930756288,0.09232494930756288
61,850381,47633,88948,13038,4333,149619,46954,0.09228180772671125,0.09228180772671125
