day,susceptible,infected,recovered,dead,new_infections,cumulative_infected,currently_infected,R_t,R0_proxy
1,25527,71,2,0,48,73,25,1.92,1.92
2,25428,164,8,0,99,172,71,1.3943661971830985,1.3943661971830985
3,25256,323,20,1,172,344,164,1.048780487804878,1.048780487804878
4,25025,535,38,2,231,575,323,0.7151702786377709,0.7151702786377709
5,24713,804,74,9,312,887,535,0.5831775700934579,0.5831775700934579
6,24324,1129,128,19,389,1276,804,0.48383084577114427,0.48383084577114427
7,23861,1507,203,29,463,1739,1129,0.41009743135518156,0.41009743135518156
8,23347,1904,312,37,514,2253,1507,0.3410749834107498,0.3410749834107498
9,22758,2342,439,61,589,2842,1904,0.30934873949579833,0.30934873949579833
10,22104,2812,598,86,654,3496,2342,0.27924850555081127,0.27924850555081127
11,21368,3334,786,112,736,4232,2812,0.26173541963015645,0.26173541963015645
12,20657,3793,1005,145,711,4943,3334,0.21325734853029393,0.21325734853029393
13,19866,4281,1266,187,791,5734,3793,0.20854205114684946,0.20854205114684946
14,19061,4739,1579,221,805,6539,4281,0.18804017752861482,0.18804017752861482
15,18193,5207,1928,272,868,7407,4739,0.1831610044313146,0.1831610044313146
16,17294,5693,2295,318,899,8306,5207,0.17265219896293452,0.17265219896293452
17,16393,6123,2709,375,901,9207,5693,0.15826453539434393,0.15826453539434393
18,15441,6578,3150,431,952,10159,6123,0.15547934019271598,0.15547934019271598
19,14526,6947,3622,505,915,11074,6578,0.13910003040437824,0.13910003040437824
20,13624,7276,4126,574,902,11976,6947,0.1298402187994818,0.1298402187994818
21,12723,7610,4629,638,901,12877,7276,0.12383177570093458,0.12383177570093458
22,11862,7877,5150,711,861,13738,7610,0.11314060446780552,0.11314060446780552
23,10981,8150,5685,784,881,14619,7877,0.11184461089247175,0.11184461089247175
24,10135,8334,6263,868,846,15465,8150,0.10380368098159509,0.10380368098159509
25,9320,8486,6846,948,815,16280,8334,0.09779217662586993,0.09779217662586993
26,8506,8643,7431,1020,814,17094,8486,0.09592269620551497,0.09592269620551497
27,7762,8703,8015,1120,744,17838,8643,0.08608122179798681,0.08608122179798681
28,7043,8713,8636,1208,719,18557,8703,0.08261519016431115,0.08261519016431115
29,6393,8695,9210,1302,650,19207,8713,0.07460117066452428,0.07460117066452428
30,5739,8660,9808,1393,654,19861,8695,0.07521564117308799,0.07521564117308799
31,5164,8522,10438,1476,575,20436,8660,0.06639722863741339,0.06639722863741339
32,4635,8364,11033,1568,529,20965,8522,0.06207463036845811,0.06207463036845811
33,4140,8226,11595,1639,495,21460,8364,0.059182209469153514,0.059182209469153514
34,3700,7957,12219,1724,440,21900,8226,0.05348893751519572,0.05348893751519572
35,3294,7762,12729,1815,406,22306,7957,0.05102425537262788,0.05102425537262788
36,2880,7524,13311,1885,414,22720,7762,0.053336768874001544,0.053336768874001544
37,2525,7274,13836,1965,355,23075,7524,0.04718234981392876,0.04718234981392876
38,2207,6987,14368,2038,318,23393,7274,0.04371734946384383,0.04371734946384383
39,1879,6754,14843,2124,328,23721,6987,0.0469443251753256,0.0469443251753256
40,1599,6537,15280,2184,280,24001,6754,0.041456914421083804,0.041456914421083804
41,1325,6299,15711,2265,274,24275,6537,0.04191525164448524,0.04191525164448524
42,1076,6002,16215,2307,249,24524,6299,0.03953008414033974,0.03953008414033974
43,875,5717,16642,2366,201,24725,6002,0.033488837054315226,0.033488837054315226
44,692,5417,17065,2426,183,24908,5717,0.032009795347210074,0.032009795347210074
45,547,5100,17465,2488,145,25053,5417,0.026767583533321027,0.026767583533321027
46,420,4813,17825,2542,127,25180,5100,0.024901960784313726,0.024901960784313726
47,309,4548,18151,2592,111,25291,4813,0.023062538956991483,0.023062538956991483
48,214,4311,18446,2629,95,25386,4548,0.02088830255057168,0.02088830255057168
49,161,4032,18734,2673,53,25439,4311,0.01229413129204361,0.01229413129204361
50,110,3736,19031,2723,51,25490,4032,0.012648809523809524,0.012648809523809524
51,74,3486,19274,2766,36,25526,3736,0.009635974304068522,0.009635974304068522
52,43,3224,19531,2802,31,25557,3486,0.00889271371199082,0.00889271371199082
53,30,3000,19735,2835,13,25570,3224,0.004032258064516129,0.004032258064516129
54,19,2788,19930,2863,11,25581,3000,0.0036666666666666666,0.0036666666666666666
55,6,2594,20112,2888,13,25594,2788,0.004662840746054519,0.004662840746054519
56,3,2378,20297,2922,3,25597,2594,0.0011565150346954508,0.0011565150346954508
57,2,2185,20465,2948,1,25598,2378,0.0004205214465937762,0.0004205214465937762
58,1,2018,20616,2965,1,25599,2185,0.0004576659038901602,0.0004576659038901602
59,1,1856,20756,2987,0,25599,2018,0.0,0.0
60,0,1730,20863,3007,1,25600,1856,0.0005387931034482759,0.0005387931034482759
61,0,1585,20993,3022,0,25600,1730,0.0,0.0
62,0,1462,21100,3038,0,25600,1585,0.0,0.0
63,0,1344,21210,3046,0,25600,1462,0.0,0.0
64,0,1235,21308,3057,0,25600,1344,0.0,0.0
65,0,1134,21399,3067,0,25600,1235,0.0,0.0
66,0,1040,21481,3079,0,25600,1134,0.0,0.0
67,0,956,21554,3090,0,25600,1040,0.0,0.0
68,0,880,21620,3100,0,25600,956,0.0,0.0
69,0,815,21675,3110,0,25600,880,0.0,0.0
70,0,753,21727,3120,0,25600,815,0.0,0.0
71,0,707,21765,3128,0,25600,753,0.0,0.0
72,0,655,21813,3132,0,25600,707,0.0,0.0
73,0,612,21848,3140,0,25600,655,0.0,0.0
74,0,567,21886,3147,0,25600,612,0.0,0.0
75,0,526,21924,3150,0,25600,567,0.0,0.0
76,0,478,21964,3158,0,25600,526,0.0,0.0
77,0,439,21996,3165,0,25600,478,0.0,0.0
78,0,402,22030,3168,0,25600,439,0.0,0.0
79,0,368,22058,3174,0,25600,402,0.0,0.0
80,0,332,22090,3178,0,25600,368,0.0,0.0
81,0,308,22114,3178,0,25600,332,0.0,0.0
82,0,284,22134,3182,0,25600,308,0.0,0.0
83,0,261,22154,3185,0,25600,284,0.0,0.0
84,0,240,22172,3188,0,25600,261,0.0,0.0
85,0,216,22194,3190,0,25600,240,0.0,0.0
86,0,198,22207,3195,0,25600,216,0.0,0.0
87,0,176,22227,3197,0,25600,198,0.0,0.0
88,0,168,22234,3198,0,25600,176,0.0,0.0
89,0,155,22246,3199,0,25600,168,0.0,0.0
90,0,145,22255,3200,0,25600,155,0.0,0.0
91,0,135,22264,3201,0,25600,145,0.0,0.0
92,0,122,22275,3203,0,25600,135,0.0,0.0
93,0,109,22286,3205,0,25600,122,0.0,0.0
94,0,100,22292,3208,0,25600,109,0.0,0.0
95,0,96,22296,3208,0,25600,100,0.0,0.0
96,0,90,22301,3209,0,25600,96,0.0,0.0
97,0,86,22304,3210,0,25600,90,0.0,0.0
98,0,79,22310,3211,0,25600,86,0.0,0.0
99,0,70,22317,3213,0,25600,79,0.0,0.0
100,0,65,22321,3214,0,25600,70,0.0,0.0
101,0,58,22328,3214,0,25600,65,0.0,0.0
102,0,51,22335,3214,0,25600,58,0.0,0.0
103,0,48,22337,3215,0,25600,51,0.0,0.0
104,0,43,22341,3216,0,25600,48,0.0,0.0
105,0,41,22343,3216,0,25600,43,0.0,0.0
106,0,37,22346,3217,0,25600,41,0.0,0.0
107,0,34,22348,3218,0,25600,37,0.0,0.0
108,0,33,22349,3218,0,25600,34,0.0,0.0
109,0,29,22352,3219,0,25600,33,0.0,0.0
110,0,28,22353,3219,0,25600,29,0.0,0.0
111,0,28,22353,3219,0,25600,28,0.0,0.0
112,0,27,22353,3220,0,25600,28,0.0,0.0
113,0,25,22355,3220,0,25600,27,0.0,0.0
114,0,21,22359,3220,0,25600,25,0.0,0.0
115,0,19,22361,3220,0,25600,21,0.0,0.0
116,0,17,22363,3220,0,25600,19,0.0,0.0
117,0,17,22363,3220,0,25600,17,0.0,0.0
118,0,16,22364,3220,0,25600,17,0.0,0.0
119,0,15,22365,3220,0,25600,16,0.0,0.0
120,0,13,22367,3220,0,25600,15,0.0,0.0
